OBJECTID,CAPTURE_ACCURACY,EQUIPMENT,DESCRIPTION,STATUS,OBJECT_TYPE_DESCRIPTION,Shape__Length,GlobalID
855,6,100045344,TE U TK (WAIOTAHI/KAHAROA STREAM),OPEN,Route,15185.489113189,336fb7f4-0c5e-41d6-9b1e-d4ed4ce7cff4
856,6,100045345,EAST-WEST PARK BOUNDARY TO ORONUI HUT,OPEN,Route,4871.96551480725,b71d799a-f9a5-429a-9fcf-2fbc0db9c287
857,6,100045346,MATIRI VALLEY TK (1000 AC JCN TO MCC H),OPEN,Tramping Track,8128.47082575154,2aed9161-62ce-49cb-9f08-f3cd36a39f2b
858,6,100045347,MATIRI VALLEY TK (HUR HUT TO BUSHLINE),OPEN,Tramping Track,1421.58862271024,9d3769d8-d928-4205-b80d-d5a14c9179dd
859,6,100045348,MATIRI VALLEY TK (MCC HUT TO HUR HUT),OPEN,Tramping Track,12356.4204311606,ac0bde19-6bed-4706-9be0-31dead29b383
860,6,100045349,1000 ACRES (1000 AC JCN TO PP HUT),OPEN,Tramping Track,4382.03102734806,2d027ac6-91c6-4e6c-80bd-679b5159de41
861,6,100045350,JOHNSON CREEK TRACK,OPEN,Tramping Track,2127.00398926787,c303984b-5901-4a56-a007-0fd425534747
862,2,100045351,Kirwans Hut to Mont. Hut Track,OPEN,Tramping Track,9105.28872909939,18b6da94-f6d5-4033-bbf1-2649b0e05c9b
863,2,100045352,Gannons to Capleston Track,OPEN,Tramping Track,3231.07713487056,1dc65990-6734-4462-b263-b936170a2118
864,2,100045353,Kirwans Hill Route,OPEN,Route,973.908720959185,353d3b94-d328-477d-8c7d-0611523a265c
865,2,100045354,Waitahu-Murray Connecting Track,OPEN,Tramping Track,2508.35867442522,0541a0dd-1052-4649-a476-1832fb2de72c
866,2,100045355,Mt Haast Route,OPEN,Route,2052.14802824193,f64129b4-2214-42be-819a-9bc078e8a6bf
867,2,100045356,Klondyke Spur Track,OPEN,Tramping Track,1677.40700135535,faa18b75-4a2e-4378-b7ff-eb917602eff4
868,2,100045357,Klondyke Valley Track,OPEN,Tramping Track,3730.84742859746,8bc8b7f5-72cd-4a3f-9ae0-60d3bd9d1cb4
869,2,100045358,Road-Lk Christabel(west end) Track,OPEN,Tramping Track,9600.67351044163,007507d9-63a8-47df-9e3e-6f6c6407346b
870,2,100045359,Lk Christabel(west end) to Hut Track,OPEN,Tramping Track,5928.21935698059,84772456-b6be-4e47-89d6-f227fdf796d9
871,2,100045360,Lk Christabel Hut - Rough Saddle Track,OPEN,Tramping Track,4867.81543072327,3c355020-c874-4d38-88ce-095f72b9999c
872,2,100045361,Rough Saddle - State Highway 7 Track,OPEN,Tramping Track,4133.65996031897,ead9073b-2c59-48fb-b889-1cb3c1d7972f
873,2,100045362,WATTLE TRACK TIRITIRI,OPEN,Walking Track,960.261949421636,19656f26-5a56-4bc9-ace3-ec6095daf8b6
874,2,100045363,GREEN LAKE TK JNCTN/RODGER INLET TK,OPEN,Tramping Track,7878.18375893482,f3467e18-dba7-4e38-b6ee-d83b5c3c44f5
875,5,100045364,LAKE HAUROKO LOOKOUT TK,OPEN,Tramping Track,3075.5265388038,44751a9b-98c5-4f4c-b413-710a8991acef
876,5,100045365,LAKE HAUROKO CRPK TO SECOND BAY TK,OPEN,Tramping Track,4859.09831154684,edb219cc-aeb8-4a35-8a57-a365d7e265fa
